SK_ID_CURR,EXT_SOURCE_3,EXT_SOURCE_2,BURO_CREDIT_ACTIVE_Closed_MEAN,DAYS_BIRTH,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,DAYS_EMPLOYED,BURO_DAYS_CREDIT_UPDATE_MEAN,DAYS_EMPLOYED_PERC,ACTIVE_DAYS_CREDIT_MEAN,REGION_RATING_CLIENT_W_CITY,NAME_INCOME_TYPE_Working,PREV_NAME_PRODUCT_TYPE_walk-in_MEAN,NAME_EDUCATION_TYPE_Higher education,PREV_CODE_REJECT_REASON_SCOFR_MEAN,DAYS_LAST_PHONE_CHANGE,CODE_GENDER,APPROVED_DAYS_DECISION_MIN,DAYS_ID_PUBLISH,predict_proba,predict,Demande_credit
100001,0.1595195404777181,0.7896543511176771,0.5714285714285714,-19241,0.0,-2329.0,-93.14285714285714,0.1210436048022452,-309.3333333333333,2,1,0.0,1,0.0,-1740.0,0,-1740.0,-812,0.5229469,0,Accordée
100005,0.4329616670974407,0.2916555320093651,0.3333333333333333,-18064,0.0,-4469.0,-54.333333333333336,0.2473981399468556,-99.5,2,1,0.0,0,0.0,0.0,1,-757.0,-1623,0.5879393,1,Refusée
163667,0.3154721549257734,0.5382390728716657,0.5714285714285714,-16462,0.0,-816.0,-888.5714285714286,0.0495687036812052,-1119.6666666666667,3,0,0.0,0,0.0,-1430.0,0,-2703.0,0,0.6080308,1,Refusée
163684,0.2498850627504553,0.293792453443047,0.6,-12793,0.0,-2306.0,-566.8,0.1802548268584382,-308.5,1,0,0.0,1,0.0,-688.0,0,-688.0,-4488,0.57615876,1,Refusée
163714,0.4031416766587513,0.3628344801108751,0.3333333333333333,-18047,0.0,-1390.0,-868.0,0.0770211115420845,-914.0,2,1,0.5,0,0.0,-1055.0,1,-1055.0,-1525,0.61126757,1,Refusée
163728,0.3962195720630885,0.4829681620982723,0.375,-10176,0.4,-645.0,-283.0,0.0633844339622641,-418.0,2,0,0.4,0,0.0,-920.0,0,-920.0,-2835,0.74099636,1,Refusée
163742,0.501075160239048,0.5651447414958177,0.0,-13392,0.2857142857142857,-1210.0,-7.0,0.0903524492234169,-219.0,3,1,0.0,0,0.0,-1967.0,0,-2762.0,-4124,0.56261224,1,Refusée
163743,,0.5305565049935655,,-14890,0.0,-816.0,,0.0548018804566823,,2,1,0.0,0,0.0,-344.0,0,-344.0,-2376,0.68927264,1,Refusée
163748,,0.3593232704878529,,-11849,0.0,-2262.0,,0.1909021858384673,,2,0,0.0,0,0.0,-572.0,0,-572.0,-3038,0.63250846,1,Refusée
163802,0.180887977767074,0.640322698119557,0.7142857142857143,-9996,0.0,-782.0,-162.14285714285714,0.0782312925170068,-281.5,2,1,0.0,0,0.0,-814.0,1,-814.0,-2306,0.5834374,1,Refusée
163855,0.2778856891082046,0.1968948848342971,1.0,-14011,0.6666666666666666,-1748.0,-84.0,0.124759117835986,,2,1,0.0,0,0.0,-287.0,1,-1963.0,-4550,0.7492303,1,Refusée
163900,0.1245194708919845,0.631060534362544,0.3636363636363636,-20312,0.6,-1638.0,-207.9090909090909,0.0806419850334777,-574.8571428571429,2,1,0.2,0,0.0,-379.0,1,-379.0,-3737,0.770576,1,Refusée
